                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
12/31/20  3:35a   27.5   27.5   27.4    56   13.8   0.0   ---  0.00   0.0   ---   27.5   26.8   26.8   23.2   827.7  0.00  0.00     0     0.00      0     0.130   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  3:40a   27.5   27.5   27.5    56   13.8   0.0   ---  0.00   0.0   ---   27.5   26.8   26.8   23.2   827.5  0.00  0.00     0     0.00      0     0.130   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  3:45a   27.6   27.6   27.5    56   13.9   0.0    NW  0.00   3.0    NW   27.6   26.9   26.9   23.3   827.7  0.00  0.00     0     0.00      0     0.130   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  3:50a   27.8   27.8   27.6    56   14.1   1.0    NW  0.08   3.0    NW   27.8   27.1   27.1   23.5   827.6  0.00  0.00     0     0.00      0     0.129   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  3:55a   28.1   28.1   27.8    55   14.0   0.0    NW  0.00   1.0    NW   28.1   27.4   27.4   23.8   827.5  0.00  0.00     0     0.00      0     0.128   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  4:00a   28.3   28.3   28.1    55   14.2   0.0    NW  0.00   2.0    NW   28.3   27.6   27.6   24.0   827.4  0.00  0.00     0     0.00      0     0.127   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:05a   28.4   28.4   28.3    55   14.3   0.0    NW  0.00   1.0    NW   28.4   27.7   27.7   24.1   827.4  0.00  0.00     0     0.00      0     0.127   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   118    1    100.0    5 
12/31/20  4:10a   28.4   28.4   28.4    55   14.3   0.0    NW  0.00   1.0    NW   28.4   27.7   27.7   24.1   827.3  0.00  0.00     0     0.00      0     0.127   0.000   68.9    12   14.1   63.4   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:15a   28.3   28.4   28.3    56   14.6   0.0    NW  0.00   1.0    NW   28.3   27.6   27.6   24.0   827.3  0.00  0.00     0     0.00      0     0.127   0.000   69.0    12   14.2   63.5   2.95  .0611    0.000   117    1    100.0    5 
12/31/20  4:20a   28.1   28.3   28.1    56   14.4   0.0    NW  0.00   1.0    NW   28.1   27.4   27.4   23.8   827.2  0.00  0.00     0     0.00      0     0.128   0.000   68.7    12   14.0   63.1   2.95  .0611    0.000   117    1    100.0    5 
